"WaferNumber: Ascending","X: Descending","Y: Descending",HBin
14,5,24,1
14,5,25,1
14,5,26,1
14,5,27,1
15,1,13,39
15,1,16,39
15,1,17,39
15,1,18,39
15,1,14,26
15,1,15,11
15,4,28,39
15,4,20,22
15,4,9,11
15,4,11,11
15,4,14,11
15,4,25,11
15,4,23,10
15,4,4,1
15,4,5,1
15,4,6,1
15,4,7,1
15,4,8,1
15,4,10,1
15,4,12,1
15,4,13,1
15,4,15,1
15,4,16,1
15,4,17,1
15,4,18,1
15,4,19,1
15,4,21,1
15,4,22,1
15,4,24,1
15,4,26,1
15,4,27,1
15,7,4,39
15,7,30,39
15,7,16,10
15,7,28,10
15,7,3,5
15,7,29,5
15,7,17,4
15,7,20,3
15,7,1,1
15,7,2,1
15,7,5,1
15,7,6,1
15,7,7,1
15,7,8,1
15,7,9,1
15,7,10,1
15,7,11,1
15,7,12,1
15,7,13,1
15,7,14,1
15,7,15,1
15,7,18,1
15,7,19,1
15,7,21,1
15,7,22,1
15,7,23,1
15,7,24,1
15,7,25,1
15,7,26,1
15,7,27,1
15,8,2,39
15,8,12,25
15,8,16,25
15,8,24,22
15,8,27,10
15,8,3,5
15,8,15,3
15,8,30,3
15,8,20,2
15,8,4,1
15,8,5,1
15,8,6,1
15,8,7,1
15,8,8,1
15,8,9,1
15,8,10,1
15,8,11,1
15,8,13,1
15,8,14,1
15,8,17,1
15,8,18,1
15,8,19,1
15,8,21,1
15,8,22,1
15,8,23,1
15,8,25,1
15,8,26,1
15,8,28,1
15,8,29,1
15,3,6,26
15,3,12,25
15,3,21,11
15,3,23,11
15,3,26,11
15,3,13,10
15,3,8,3
15,3,5,1
15,3,7,1
15,3,9,1
15,3,10,1
15,3,11,1
15,3,14,1
15,3,15,1
15,3,16,1
15,3,17,1
15,3,18,1
15,3,19,1
15,3,20,1
15,3,22,1
15,3,24,1
15,3,25,1
15,5,12,25
15,5,29,25
15,5,13,10
15,5,15,5
15,5,23,5
15,5,25,3
15,5,2,1
15,5,3,1
15,5,4,1
15,5,5,1
15,5,6,1
15,5,7,1
15,5,8,1
15,5,9,1
15,5,10,1
15,5,11,1
15,5,14,1
15,5,16,1
15,5,17,1
15,5,18,1
15,5,19,1
15,5,20,1
15,5,21,1
15,5,22,1
15,5,24,1
15,5,26,1
15,5,27,1
15,5,28,1
15,10,3,25
15,10,19,5
15,10,25,5
15,10,4,1
15,10,5,1
15,10,6,1
15,10,7,1
15,10,8,1
15,10,9,1
15,10,10,1
15,10,11,1
15,10,12,1
15,10,13,1
15,10,14,1
15,10,15,1
15,10,16,1
15,10,17,1
15,10,18,1
15,10,20,1
15,10,21,1
15,10,22,1
15,10,23,1
15,10,24,1
15,10,26,1
15,10,27,1
15,10,28,1
15,12,18,25
15,12,24,22
15,12,7,18
15,12,13,11
15,12,19,10
15,12,16,3
15,12,8,1
15,12,9,1
15,12,10,1
15,12,11,1
15,12,12,1
15,12,14,1
15,12,15,1
15,12,17,1
15,12,20,1
15,12,21,1
15,12,22,1
15,12,23,1
15,13,13,25
15,13,12,11
15,13,15,11
15,13,19,11
15,13,18,4
15,13,14,1
15,13,16,1
15,13,17,1
15,9,3,12
15,9,25,10
15,9,7,4
15,9,11,3
15,9,26,3
15,9,2,1
15,9,4,1
15,9,5,1
15,9,6,1
15,9,8,1
15,9,9,1
15,9,10,1
15,9,12,1
15,9,13,1
15,9,14,1
15,9,15,1
15,9,16,1
15,9,17,1
15,9,18,1
15,9,19,1
15,9,20,1
15,9,21,1
15,9,22,1
15,9,23,1
15,9,24,1
15,9,27,1
15,9,28,1
15,9,29,1
15,2,8,11
15,2,12,10
15,2,15,10
15,2,11,5
15,2,9,3
15,2,10,1
15,2,13,1
15,2,14,1
15,2,16,1
15,2,17,1
15,2,18,1
15,2,19,1
15,2,20,1
15,2,21,1
15,2,22,1
15,2,23,1
15,6,12,11
15,6,29,11
15,6,5,10
15,6,26,10
15,6,27,10
15,6,28,10
15,6,6,3
15,6,15,3
15,6,16,3
15,6,18,3
15,6,22,3
15,6,23,3
15,6,2,1
15,6,3,1
15,6,4,1
15,6,7,1
15,6,8,1
15,6,9,1
15,6,10,1
15,6,11,1
15,6,13,1
15,6,14,1
15,6,17,1
15,6,19,1
15,6,20,1
15,6,21,1
15,6,24,1
15,6,25,1
15,11,5,11
15,11,11,11
15,11,26,11
15,11,21,10
15,11,23,10
15,11,8,6
15,11,12,3
15,11,22,3
15,11,6,1
15,11,7,1
15,11,9,1
15,11,10,1
15,11,13,1
15,11,14,1
15,11,15,1
15,11,16,1
15,11,17,1
15,11,18,1
15,11,19,1
15,11,20,1
15,11,24,1
15,11,25,1
16,5,29,40
16,5,5,39
16,5,18,12
16,5,26,11
16,5,7,10
16,5,2,5
16,5,23,5
16,5,3,1
16,5,4,1
16,5,6,1
16,5,8,1
16,5,9,1
16,5,10,1
16,5,11,1
16,5,12,1
